lemma,upos,synonyms,hypernyms
erupt,VBN,belch|break|break open|break out|break through|burst|burst out|catch fire|combust|come out|conflagrate|erupt|extravasate|flare|flare up|ignite|irrupt|push through|recrudesce|take fire,begin|start|intensify|deepen|change state|turn|appear|explode|burst|express emotion|express feelings|trouble|ail|pain
border,NN,border|borderline|boundary line|delimitation|edge|margin|mete|molding|moulding|perimeter,boundary|bound|bounds|edge
revolutionary,NNS,revolutionary|revolutionist|subversive|subverter,radical
rally,VBD,bait|beat up|call up|cod|come up|drum up|mobilise|mobilize|muster|muster up|rag|rally|razz|rebound|ride|summon|tantalise|tantalize|taunt|tease|twit,collect|pull in|call|send for|gather|garner|pull together|recover|go back|recuperate|mock|bemock
round,NN,beat|bout|circle|cycle|daily round|one shot|rhythm|round|round of drinks|round of golf|rung|stave|troll|turn|unit of ammunition,ammunition|ammo|time interval|interval|path|route|itinerary|call|golf|golf game|habitude|part|section|division|track|course|helping|portion|serving|cut of beef|partsong|applause|hand clapping|clapping|crosspiece|rotating mechanism
force,NNS,effect|force|force out|force play|force-out|forcefulness|military force|military group|military unit|personnel|power|strength|violence,influence|physical phenomenon|intensity|intensiveness|organization|organisation|unit|social unit|aggression|hostility|causal agent|cause|causal agency|social group|validity|validness|putout
then,RB,and so|so|then,NA
crush,VBN,beat|beat out|break down|crush|jam|mash|oppress|shell|smash|squash|squeeze|squelch|suppress|trounce|vanquish,press|get the better of|overcome|defeat|break up|fragment|fragmentize|fragmentise|humiliate|mortify|chagrin|humble|abase|bruise|contuse|change|alter|modify|break|separate|split up|fall apart|come apart
suffer,VBD,abide|ache|bear|brook|digest|endure|get|have|hurt|lose|meet|put up|stand|stick out|stomach|suffer|support|sustain|tolerate,experience|see|go through|receive|have|get|feel|permit|allow|let|countenance|worsen|decline|be|perceive|comprehend|tend|be given|lean|incline|run
ten,CD,NA,NA
trouble,NNS,bother|difficulty|fuss|hassle|problem|trouble|worry,difficulty|perturbation|disturbance|happening|occurrence|occurrent|natural event|effort|elbow grease|exertion|travail|sweat|anxiety|pregnancy|gestation|maternity
continue,VBN,bear on|carry on|continue|cover|extend|go along|go forward|go on|keep|keep on|persist in|preserve|proceed|remain|retain|stay|stay on|uphold,act|move|talk|speak|keep|maintain|hold|travel|go|locomote|prolong|sustain|keep up|be
1660,CD,NA,NA
face,VBD,confront|face|face up|front|look|present,set about|go about|approach|meet|encounter|play|take on|lie|be|turn|disclose|expose|uncover|line|cover
severe,JJ,austere|dangerous|grave|grievous|hard|knockout|life-threatening|serious|severe|spartan|stark|stern|terrible|wicked,
persecution,NN,persecution,maltreatment|ill-treatment|ill-usage|abuse
decide,VBN,adjudicate|decide|determine|make up one's mind|resolve|settle,end|terminate|induce|stimulate|cause|have|get|make|determine|shape|mold|influence|regulate
follow,VB,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on
father,NN,begetter|beginner|Church Father|don|father|Father|Father of the Church|Father-God|Fatherhood|forefather|founder|founding father|male parent|Padre|sire,parent|ancestor|ascendant|ascendent|antecedent|root|priest|title|title of respect|form of address|theologian|theologist|theologizer|theologiser|leader|originator|conceiver|mastermind|head|chief|top dog
impose,VBG,bring down|constrain|enforce|impose|inflict|levy|visit,compel|oblige|obligate|communicate|intercommunicate|charge|bill
hundred,NNS,100|C|century|hundred|one C,large integer
end,JJ,,NA
undergo,VBD,undergo,change
depose,VBN,depone|depose|force out|swear,oust|throw out|drum out|boot out|kick out|expel|declare
1689,CD,NA,NA
1702,CD,NA,NA
presbyterianism,NNP,Presbyterianism,Protestantism
establish,VBN,base|build|constitute|demonstrate|establish|found|give|ground|instal|install|institute|launch|lay down|make|plant|prove|set up|shew|show,open|open up|initiate|pioneer|confirm|corroborate|sustain|substantiate|support|affirm|make|create
official,JJ,official|prescribed,
prevail,VBD,die hard|dominate|endure|hold|obtain|persist|predominate|prevail|reign|rule|run|triumph,exist|be|continue|win|persuade
1,CD,NA,NA
may,NNP,Crataegus laevigata|Crataegus oxycantha|English hawthorn|may|May|whitethorn,Gregorian calendar month|hawthorn|haw
1707,CD,NA,NA
formally,RB,formally|officially,
join,VBN,conjoin|connect|fall in|get together|join|link|link up|unite,NA
establish,VBG,base|build|constitute|demonstrate|establish|found|give|ground|instal|install|institute|launch|lay down|make|plant|prove|set up|shew|show,open|open up|initiate|pioneer|confirm|corroborate|sustain|substantiate|support|affirm|make|create
parliament,NNP,fantan|parliament|sevens,legislature|legislative assembly|legislative body|general assembly|law-makers|card game|cards
kingdom,NNP,kingdom|land|realm,sphere|domain|area|orbit|field|arena|country|state|land|demesne|monarchy|taxonomic group|taxonomic category|taxon|group|grouping
allow,VBN,admit|allow|allow for|appropriate|countenance|earmark|give up|grant|leave|let|permit|provide|reserve|set aside|take into account|tolerate,NA
retain,VB,continue|hold|hold back|keep|keep back|keep on|retain,hold|bear|carry|contain|prolong|sustain|keep up|keep|hold on|remember|think of
legal,JJ,effectual|legal|sound,
education,NN,breeding|Department of Education|didactics|education|Education|Education Department|educational activity|instruction|pedagogy|teaching|training,activity|content|cognitive content|mental object|learning|acquisition|profession|upbringing|executive department
national,JJ,home(a)|interior(a)|internal|national,
move,NN,motility|motion|move|movement|relocation,decision|determination|conclusion|change|turn|play
oppose,VBN,contradict|controvert|counterbalance|defend|fight|fight back|fight down|match|oppose|pit|play off|react,argue|contend|debate|fence|fight|struggle|contrast|counterpoint|confront|face|act|move|refute|rebut
successor,NNS,heir|replacement|successor,peer|equal|match|compeer|substitute|replacement|offspring|progeny|issue
exile,VBD,deport|exile|expatriate,expel|throw out|kick out
jacobite,NNP,Jacobite,supporter|protagonist|champion|admirer|booster|friend
40,CD,NA,NA
attempt,VBD,assay|attempt|essay|seek|set about|try|undertake,act|move|initiate|pioneer
restore,VB,bushel|doctor|fix|furbish up|mend|reconstruct|reestablish|regenerate|reinstate|rejuvenate|repair|restitute|restore|touch on,regenerate|renew|refund|return|repay|give back|better|improve|amend|ameliorate|meliorate|change|alter|modify
german,NNP,German|German language|High German,European|West Germanic|West Germanic language
hanover,NNP,Hannover|Hanover|Hanoverian line|House of Hanover,dynasty|royalty|royal family|royal line|royal house
pretender,NNP,dissembler|dissimulator|fake|faker|fraud|hypocrite|imposter|impostor|phoney|phony|pretender|Pretender|pseud|pseudo|role player|sham|shammer,claimant|deceiver|cheat|cheater|trickster|beguiler|slicker
travel,VBD,go|jaunt|journey|locomote|move|move around|travel|trip,travel|trip|jaunt|go|move|locomote
1708,CD,NA,NA
back,RB,back|backward|backwards|rearward|rearwards,NA
bad,JJ,bad|big|defective|forged|high-risk|regretful|risky|sorry|speculative|spoiled|spoilt|tough|uncollectible|unfit|unsound,
weather,NN,atmospheric condition|conditions|weather|weather condition,atmospheric phenomenon
1715,CD,NA,NA
mar,NNP,blemish|defect|mar|Mar|March,Gregorian calendar month|appearance|visual aspect
1745,CD,NA,NA
rising,NN,ascension|ascent|insurrection|rebellion|revolt|rise|rising|uprising,change of location|travel|conflict|struggle|battle
young,NNP,Brigham Young|Cy Young|Danton True Young|Edward Young|Lester Willis Young|Loretta Young|offspring|Pres Young|Thomas Young|Whitney Moore Young Jr.|Whitney Young|young|Young|youth,animal|animate being|beast|brute|creature|fauna|age group|age bracket|cohort
bonnie,NNP,,NA
charlie,NNP,,NA
raise,VBD,advance|arouse|bring up|call down|call forth|conjure|conjure up|elevate|elicit|enhance|enkindle|erect|evoke|farm|fire|get up|grow|heighten|invoke|kick upstairs|kindle|leaven|levy|lift|nurture|parent|produce|promote|prove|provoke|put forward|put up|raise|rear|recruit|resurrect|set up|stir|upgrade|upraise,increase|move|displace|express|verbalize|verbalise|utter|give tongue to|collect|take in|cultivate|call up|summon|construct|build|make|create|change|alter|modify|intensify|compound|heighten|deepen|delegate|designate|depute|assign|raise|lift|elevate|get up|bring up|bid|call|bet|wager|play|enlist|draft|muster in|mention|advert|cite|name|refer|pronounce|articulate|enounce|sound out|enunciate|say|incite|instigate|set off|stir up|reach|get through|get hold of|contact|multiply|bring out|better|improve|amend|ameliorate|meliorate|end|terminate|resuscitate|revive
highlander,NNS,Highland Scot|Highlander|Scottish Highlander,soldier|Scot|Scotsman|Scotchman
sweep,VBD,broom|brush|cross|drag|drag in|embroil|sail|span|sweep|sweep up|swing|swing out|tangle|traverse,move|wipe|pass over|involve|cover|continue|extend|clean|make clean|win|wield|handle|manage
government,NN,administration|authorities|governance|governing|government|government activity|political science|politics|regime,polity|social control|system|system of rules|social science
prestonpan,NNP,,NA
november,NNP,Nov|November,Gregorian calendar month
capture,VBG,appropriate|becharm|beguile|bewitch|captivate|capture|catch|charm|conquer|enamor|enamour|enchant|entrance|fascinate|get|seize|trance,represent|interpret|attract|appeal|seize|prehend|clutch|change|alter|modify|assume|usurp|take over|arrogate|get|acquire
carlisle,NNP,,NA
drive,VBG,aim|beat back|drive|force|force back|get|labor|labour|motor|push|push back|ram|repel|repulse|ride|take|tug,operate|control|travel|go|move|locomote|transport|carry|displace|thrust|coerce|hale|squeeze|pressure|force|push|make|propel|impel|throw|fight|struggle|mean|intend|work|do work|drive|traverse|track|cover|cross|pass over|get over|get across|cut through|cut across|hit|excavate|dig|hollow|power|hunt|run|hunt down|track down
derby,NNP,bowler|bowler hat|derby|derby hat|plug hat,hat|chapeau|lid
200,CD,NA,NA
km,NN,kilometer|kilometre|klick|km,metric linear unit
130,CD,NA,NA
mile,NNS,Admiralty mile|air mile|geographical mile|international mile|international nautical mile|land mile|mi|mil|mile|naut mi|nautical mile|Roman mile|sea mile|stat mi|statute mile|Swedish mile,linear unit|linear measure|nautical linear unit|large indefinite quantity|large indefinite amount|track event
short,JJ,brusk|brusque|curt|forgetful|inadequate|jejune|light|little|myopic|poor|scant(p)|short|short(p)|shortsighted|unforesightful|unretentive,
find,VBG,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow
overextended,JJ,,NA
beat,VBP,amaze|baffle|beat|beat out|beat up|bewilder|bunk|circumvent|crush|drum|dumbfound|exhaust|flap|flummox|get|gravel|mystify|nonplus|outfox|outsmart|outwit|overreach|perplex|pose|pound|pulsate|puzzle|quiver|scramble|shell|stick|stupefy|thrum|thump|tick|ticktack|ticktock|trounce|tucker|tucker out|vanquish|vex|wash up|work over,get the better of|overcome|defeat|strike|move|shape|form|work|mold|mould|forge|sound|go|glare|displace|sail|agitate|vex|disturb|commove|shake up|stir up|raise up|be|cheat|rip off|chisel|make|create|play|beat|surpass|outstrip|outmatch|outgo|exceed|outdo|surmount|outperform|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate|tire|wear upon|tire out|wear|weary|jade|wear out|outwear|wear down|fag out|fag|fatigue
tactical,JJ,tactical,
retreat,NN,hideaway|retirement|retreat,withdrawal|area|country|signal|signaling|sign|bugle call
hound,VBD,hound|hunt|trace,chase|chase after|trail|tail|tag|give chase|dog|go after|track
relentlessly,RB,relentlessly|unrelentingly,
final,JJ,concluding|final|last|net|terminal,
showdown,NN,confrontation|encounter|face-off|showdown,disagreement
culloden,NNP,,NA
1746,CD,NA,NA
slaughter,VBN,butcher|massacre|mow down|slaughter,kill
pursue,VBN,act on|engage|follow|follow up on|go after|prosecute|pursue|quest after|quest for,act|move|travel|go|locomote|search|seek|look for|react|oppose
highland,NNP,highland|upland,natural elevation|elevation
escape,VBG,break away|break loose|bunk|elude|escape|fly the coop|get away|get by|get off|get out|head for the hills|hightail it|lam|miss|run|run away|scarper|scat|take to the woods|turn tail,flee|fly|take flight|avoid|perplex|vex|stick|get|puzzle|mystify|baffle|beat|pose|bewilder|flummox|stupefy|nonplus|gravel|amaze|dumbfound|escape|get away|break loose|leave|go forth|go away|issue|emerge|come out|come forth|egress
ship,NN,ship,vessel|watercraft
1788,CD,NA,NA
disillusioned,JJ,disillusioned,
drunk,JJ,drunk|gone|inebriated|intoxicated|ripped,
uprising,NNS,insurrection|rebellion|revolt|rising|uprising,conflict|struggle|battle
find,VBD,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow
